window,n,beta_open,se_open,t_open,p_open,beta_overnight,se_overnight,t_overnight,p_overnight,r2
10m,24,0.3243275229441711,0.5637024701460754,0.5753523181477744,0.5650530448761892,0.11361100674268888,0.08096963454172458,1.403131030363535,0.16057776947610392,0.04871656390365764
30m,24,0.1743303001682731,0.25077614134452164,0.6951630216240324,0.4869531433846004,-0.03306203200715073,0.08006233308397533,-0.41295364166408705,0.6796405788823106,0.02498928958062252
1h,24,0.06386025802657229,0.22918651962981146,0.2786388053264266,0.7805220292886381,-0.011608304746732176,0.05761082150976061,-0.20149521292220177,0.840311372209497,0.0062228026996231645
2h,24,0.2681342769402714,0.13261433672053924,2.021910176313108,0.04318563227452987,-0.0222977440708739,0.06619590696117181,-0.3368447551289383,0.7362339328736449,0.16423354432457005
