earnings_date,fiscal_quarter,next_day,P_prev_close,P_0930,P_1030,P_1600,r_overnight,r_open_1h,r_mid_day,r_full_day,r_open_30m,r_open_2h,r_aft_2h,open1h_share,next_day_volume,eps_surprise_pct,rev_surprise_pct
2020-05-21,FY21Q1,2020-05-22,351.18,355.0178,363.06,361.06,0.010869016532291643,0.022400180798808927,-0.005523960353773108,0.027745236977327534,0.01598954817857709,0.007945975121130431,-0.0006506496342948074,0.4305720846163184,24515744.0,6.508875739644976,3.0100334448160484
2020-08-19,FY21Q2,2020-08-20,485.74,477.31,486.845,485.57,-0.017507326347955703,0.019779622292179583,-0.0026223386736014976,-0.00035004272937754155,0.02884805504502392,0.021308713807074352,-0.008142716074065996,0.4350460645218515,21826776.0,11.224489795918377,6.318681318681318
2020-11-18,FY21Q3,2020-11-19,537.0,534.53,529.865,537.85,-0.004610238397135861,-0.008765598992573356,0.014957453758859159,0.0015816163691497417,-0.00904004616916055,-0.008567454941200224,-0.002191517109185926,0.3770494944739345,12941667.0,12.790697674418608,7.013574660633496
2021-02-24,FY21Q4,2021-02-25,580.0,564.49,560.79,532.3,-0.027105434899508275,-0.006576164748606761,-0.05213926371363838,-0.08582086336175342,0.00026551418199215665,-0.019606717419056063,-0.006395063062876062,0.23830736664230542,18629315.0,10.320284697508898,3.73443983402489
2021-05-26,FY22Q1,2021-05-27,628.21,624.39,626.0999,619.02,-0.006099332336872385,0.0027347698940875364,-0.011372360692017774,-0.014736923134802642,-0.008476865774273002,-0.001859541101077145,-0.007547934412571347,0.3692040505581007,11763021.0,11.585365853658548,4.621072088724584
2021-08-18,FY22Q2,2021-08-19,190.4,193.86,193.44,197.94,0.018009126707196885,-0.0021688621979794364,0.02299656760206255,0.03883683211127998,-0.01612015563443842,0.04028950984756581,-0.004435938315453973,0.2012776754126884,72240883.0,1.960784313725492,2.8436018957345923
2021-11-17,FY22Q3,2021-11-18,292.57,322.96,320.225,316.75,0.09882452226502117,-0.008504602827485509,-0.010911054515951434,0.0794088649215843,0.008248645664143012,-0.008957511995705767,0.008815379258639362,0.4183847236468377,71991161.0,5.40540540540539,4.1055718475073215
2022-02-16,FY22Q4,2022-02-17,265.11,253.4,243.1,245.1185,-0.04517556631098409,-0.04149638656496103,0.008268885759727769,-0.07840306711621735,-0.02908910199181542,-0.017516371422331048,0.001177674932544128,0.3287299669794255,75272161.0,8.196721311475418,2.9649595687331503
2022-05-25,FY23Q1,2022-05-26,169.835,162.155,172.55,178.44,-0.0462747095652813,0.062134381620087525,0.03356536071605159,0.04942503277085783,0.05176495397522263,0.07863613118732621,-0.006626171412866245,0.33883448137579825,92275042.0,4.615384615384619,2.219482120838468
2022-08-24,FY23Q2,2022-08-25,171.98,170.365,177.655,179.1501,-0.009434996745843895,0.041900273063443766,0.008380534641916564,0.0408458109595164,0.007747330852214075,0.03461251695096842,0.008976248336342509,0.3394692595539693,72841217.0,-59.523809523809526,-17.283950617283946
