earnings_date,r_overnight,r_open_10m,r_rest_10m,r_open_30m,r_rest_30m,r_open_1h,r_rest_1h,r_open_2h,r_rest_2h
2020-05-21,0.010869016532291643,-0.007940340445896575,0.02481656089093239,0.01598954817857709,0.0008866722664588918,0.022400180798808927,-0.005523960353773108,0.007945975121130431,0.008930245323905444
2020-08-19,-0.017507326347955703,0.02034411903595317,-0.0031868354173749986,0.02884805504502392,-0.011690771426445892,0.019779622292179583,-0.0026223386736014976,0.021308713807074352,-0.004151430188496359
2020-11-18,-0.004610238397135861,-0.014623835472379974,0.020815690238665648,-0.00904004616916055,0.015231900935446333,-0.008765598992573356,0.014957453758859159,-0.008567454941200224,0.014759309707485931
2021-02-24,-0.027105434899508275,0.014509192915609108,-0.07322462137785422,0.00026551418199215665,-0.05898094264423716,-0.006576164748606761,-0.05213926371363838,-0.019606717419056063,-0.039108711043189026
2021-05-26,-0.006099332336872385,-0.005041595727431253,-0.0035959950704990114,-0.008476865774273002,-0.00016072502365720374,0.0027347698940875364,-0.011372360692017774,-0.001859541101077145,-0.006778049696853033
2021-08-18,0.018009126707196885,-0.03154571242473027,0.052373417828813384,-0.01612015563443842,0.03694786103852148,-0.0021688621979794364,0.02299656760206255,0.04028950984756581,-0.01946180444348274
2021-11-17,0.09882452226502117,0.0032767657375867487,-0.022692423081023597,0.008248645664143012,-0.027664303007579976,-0.008504602827485509,-0.010911054515951434,-0.008957511995705767,-0.010458145347731148
2022-02-16,-0.04517556631098409,-0.005103767680981856,-0.028123733124251357,-0.02908910199181542,-0.004138398813417826,-0.04149638656496103,0.008268885759727769,-0.017516371422331048,-0.015711129382902176
2022-05-25,-0.0462747095652813,0.04806895962381309,0.04763078271232588,0.05176495397522263,0.043934788360916285,0.062134381620087525,0.03356536071605159,0.07863613118732621,0.01706361114881289
2022-08-24,-0.009434996745843895,0.005998467167574242,0.04428234053778595,0.007747330852214075,0.042533476853146075,0.041900273063443766,0.008380534641916564,0.03461251695096842,0.015668290754392074
2022-11-16,-0.010532055856732128,0.010648109348112009,-0.016561711931187037,0.009460591202785801,-0.01537419378586088,0.026338098190524066,-0.03225170077359924,0.005721255313289952,-0.011634857896364962
2023-02-22,0.11848375592918388,-0.00394325657756033,0.015891947689204648,0.02078601664793462,-0.008837325536290299,0.014903152383675462,-0.002954461272031128,-0.0026342575601638056,0.014582948671808243
2023-05-24,0.21772633104692496,-0.015794342532860377,0.016031343679475334,0.00975917679976152,-0.009522175653146572,0.007784214700897172,-0.007547213554282201,0.027201074346144494,-0.026964073199529443
2023-08-23,0.04698774406968722,-0.00040503048408059344,-0.04573421325893744,-0.01894774164578015,-0.027191502097237936,-0.02644555022227895,-0.01969369352073921,-0.030382604187577482,-0.01575663955544065
2023-11-21,-0.006391521539446233,-0.002721785699727097,-0.01688698468579781,-0.02501297655871293,0.0054042061731880515,-0.027682915900322784,0.008074145514797827,-0.027658493050551524,0.008049722665026583
2024-02-21,0.09902799360439092,0.023647846396851597,0.028071474528196187,0.0350774359038756,0.01664188502117235,0.04373044373973585,0.00798887718531205,0.041921912807965506,0.009797408117082275
2024-05-22,0.07694893873182931,0.009843799411300461,0.0033679908602604557,0.005544323810150531,0.007667466461410442,0.01602998051295302,-0.0028181902413921558,0.02146115840289584,-0.008249368131335021
2024-08-28,-0.045171857408402016,0.020274305786674888,-0.04113819038072378,0.024182787270665952,-0.04504667186471491,0.007299907986987584,-0.028163792581036507,0.00977638275439041,-0.030640267348439342
2024-11-20,0.03159985731985492,-0.026063917236450202,-0.0008187889676185767,-0.036063997146526215,0.00918129094245741,-0.0670314176771278,0.04014871147305898,-0.037028118149518535,0.010145411945449831
2025-02-26,0.01935228498368095,-0.029362684550913672,-0.08157345909728697,-0.06470220569929035,-0.04623393794891027,-0.05440287309060869,-0.05653327055759198,-0.05607684604538046,-0.05485929760282016
2025-05-28,0.05326264687014192,0.005435844278057995,-0.02679681143446866,-0.0050943622810545935,-0.016266604875355986,-0.012704762589254879,-0.008656204567155724,-0.005182728825538534,-0.01617823833087203
2025-08-27,0.012640041343696774,-0.014513491190706555,-0.005865671145945537,-0.03767549904234865,0.017296336705696597,-0.03395592757629547,0.013576765239643454,-0.023714351642790458,0.0033351893061382525
2025-11-19,0.039264471140729715,-0.006199730476205408,-0.06496975449321958,0.006544153904986987,-0.0777136388744119,-0.0009244727108507447,-0.07024501225857427,-0.023883435006363803,-0.04728604996306114
2026-02-25,-0.013000208780810533,-0.01374806843687896,-0.031101074252073,-0.023162493414016327,-0.02168664927493552,-0.03983119167356783,-0.00501795101538405,-0.02859211163388641,-0.016257031055065523
