label,variable,coef,se,t,p,n,r2
main,const,-0.006133851002158768,0.006310452482079885,-0.9720144505607765,0.33104335962541476,24,0.0062228026996231645
main,r_open_1h,0.06386025802657229,0.22918651962981146,0.2786388053264266,0.7805220292886381,24,0.0062228026996231645
main,r_overnight,-0.011608304746732176,0.05761082150976061,-0.20149521292220177,0.840311372209497,24,0.0062228026996231645
uni_open_1h,const,-0.006433860759024296,0.0054076419985254155,-1.1897719488048053,0.2341360376782391,24,0.005507106902653325
uni_open_1h,r_open_1h,0.06233999611533585,0.22214047828846567,0.2806332128014184,0.7789917391553804,24,0.005507106902653325
uni_overnight,const,-0.006364631805771916,0.006322221009053063,-1.0067082116645596,0.3140750148156606,24,0.0004701461159655196
uni_overnight,r_overnight,-0.009387059412011553,0.055770695784349095,-0.16831526449497586,0.8663352658462848,24,0.0004701461159655196
win_30m,const,-0.006088603804133843,0.0063871195764308945,-0.9532628489689461,0.3404569097594432,24,0.007128198435915056
win_30m,r_open_30m,0.08320689335381097,0.2790983470645313,0.2981275031864392,0.7656058509722343,24,0.007128198435915056
win_30m,r_overnight,-0.01352907843906737,0.06073775286985206,-0.2227457849495564,0.8237333651847545,24,0.007128198435915056
placebo,const,-0.00015974263023761236,0.0022209891993232186,-0.07192409143020112,0.9426623175091291,70,0.041791122451470875
placebo,r_open_1h,0.03937332780766007,0.1750838808874282,0.22488265400614185,0.8220705637948857,70,0.041791122451470875
placebo,r_overnight,0.13837488211761637,0.12833882216464126,1.078199719957693,0.28094463690108307,70,0.041791122451470875
