m,mean,std,count,se
0,0.0,0.0,24,0.0
1,0.0013954171608618537,0.0064281461721019525,24,0.0013121398428062236
2,0.0008817870166744703,0.009292732831045748,24,0.0018968711460059203
3,-0.0004137621617989794,0.010541482931602923,24,0.002151771192890442
4,-0.0008928291435802292,0.013704319752415416,24,0.0027973825554468723
5,-9.145694620927582e-05,0.015911797331593286,24,0.0032479820294152085
6,-0.0004334255583954687,0.015537171433982077,24,0.003171511838283575
7,-0.0009517608933477365,0.01594015147599924,24,0.0032537697949058565
8,-0.0012908469779465883,0.01913840725610375,24,0.003906611022252774
9,-0.001719986009789863,0.01844258468282247,24,0.0037645768342486497
10,-0.0006233395514695755,0.0183660678263786,24,0.0037489578963312105
11,-0.001152459117083851,0.017044597363492585,24,0.0034792138676453576
12,-0.002044241647845235,0.016706486487167976,24,0.003410197274021977
13,-0.0010791037610437591,0.017536914294829568,24,0.003579707640437727
14,-0.0008877676952841427,0.01798715829236494,24,0.0036716133115804427
15,-0.0020693837184855113,0.01976848182249511,24,0.004035224454549791
16,-0.0011282304831733705,0.01912763607441964,24,0.0039044123639983674
17,-0.00026727738369012693,0.019579677380643732,24,0.003996684909240886
18,-0.00040434142760010263,0.021283318253303034,24,0.004344439146154648
19,-0.0008202688206764389,0.021262339941926837,24,0.004340156966276572
20,-0.001218551647394564,0.02145943628964857,24,0.004380389089783607
21,-0.0012532748525516239,0.02187068110199299,24,0.004464334085584477
22,-0.0025045096924104665,0.022695333102198446,24,0.0046326654702402185
23,-0.0021782383674063084,0.02425268486463425,24,0.004950558567572869
24,-0.001977504342593665,0.023755560865784925,24,0.004849083556233471
25,-0.0016152542386995642,0.024458361751791127,24,0.004992542186357731
26,-0.0022383783002919377,0.024981442478524667,24,0.005099315592589512
27,-0.0016187281829150035,0.024570137851527573,24,0.005015358387173792
28,-0.00193668991284861,0.024378986571225395,24,0.004976339795472121
29,-0.0021542843218681444,0.02507058493608267,24,0.005117511720542414
30,-0.0020486213300034465,0.026386476136151818,24,0.0053861168869747495
31,-0.001827903803850912,0.026218610967904964,24,0.0053518515529921455
32,-0.002303992161600169,0.02559626913026693,24,0.0052248165573422125
33,-0.0020370852078992314,0.024243571248302564,24,0.004948698258429192
34,-0.00250858690250559,0.02517667632615691,24,0.005139167534857785
35,-0.002698845426004635,0.02488265367209011,24,0.005079150411917576
36,-0.0029533317901791743,0.025314854739459856,24,0.005167373085362754
37,-0.002707972499655972,0.025664526780383033,24,0.005238749591827702
38,-0.0019168059409251411,0.025625343274181155,24,0.005230751292117054
39,-0.002444413399857409,0.026021550832304716,24,0.005311626821253457
40,-0.002859939579268443,0.025361806991387077,24,0.005176957173654112
41,-0.002879485373821031,0.02635447684058706,24,0.005379585058119569
42,-0.002639243317608395,0.026158242579488056,24,0.005339528907307515
43,-0.002057102625190882,0.026168584905217188,24,0.005341640025706684
44,-0.0025963119479381113,0.02629661525040946,24,0.005367774110482806
45,-0.0026120648549507112,0.026523660316002416,24,0.005414119490426096
46,-0.002859763319263722,0.02669204202420213,24,0.0054484902626850545
47,-0.003662826504050188,0.026646227826883605,24,0.005439138478817924
48,-0.003576999524710491,0.027976212581986504,24,0.005710620480124803
49,-0.0034812948713384344,0.028656305110797683,24,0.005849443786247008
50,-0.0033000817949161844,0.0290027040365513,24,0.005920152170875725
51,-0.003033966854461516,0.029198579982157045,24,0.0059601351808439935
52,-0.0027790483441722936,0.029096470581667023,24,0.005939292186748823
53,-0.002924136725167838,0.02902437820134447,24,0.005924576391237746
54,-0.003430134948293728,0.02985708804777177,24,0.006094552576865931
55,-0.0037082575231426195,0.029848877499970488,24,0.0060928766058141095
56,-0.003165579825644019,0.03056223756039278,24,0.0062384906183904085
57,-0.00264942275533001,0.031003334288269815,24,0.00632852911093291
58,-0.002525051273128766,0.03165773570861971,24,0.006462108241500395
59,-0.0026150361904070975,0.03183275155944553,24,0.006497833202452254
60,-0.0027273208995221977,0.03181244157435216,24,0.006493687444105396
61,-0.002265651126371356,0.03166501871258171,24,0.006463594878458859
62,-0.002176211521730157,0.032225829035646955,24,0.006578069806291795
63,-0.0024768871566621165,0.031557467940470416,24,0.006441641169032606
64,-0.0024141857138436995,0.03122801829958255,24,0.006374392542689403
65,-0.0020434834483990956,0.030505612403216215,24,0.0062269320565831185
66,-0.0018003513118193162,0.029703308529764598,24,0.006063162464198539
67,-0.0020968444821377473,0.030175410346189535,24,0.006159529843938722
68,-0.001618894585368255,0.02940054898478346,24,0.006001361930868456
69,-0.0010986374162695706,0.029193790039653517,24,0.005959157437924751
70,-0.0015087408095643183,0.029556572667302036,24,0.006033210131698498
71,-0.0011116733788521778,0.029277505265488418,24,0.005976245736841198
72,-0.0016852988701329971,0.02908587085585947,24,0.005937128526778663
73,-0.0014887999546428674,0.028868837067005403,24,0.005892826690142379
74,-0.0009816864011784727,0.02875143739075157,24,0.00586886258157656
75,-0.0018120958713965067,0.02860387224342121,24,0.005838740972011726
76,-0.0012846325256579273,0.029541023099269578,24,0.006030036089415147
77,-0.0011205916659369354,0.029367803267810893,24,0.005994677739381424
78,-0.001006182920567493,0.02965695791215225,24,0.0060537011839974465
79,-0.0013140060479560768,0.029838161258490044,24,0.006090689162181815
80,-0.0016313785125385979,0.030003069978786573,24,0.0061243510137536355
81,-0.002054225393891549,0.030248552338102037,24,0.006174459890518422
82,-0.0025077534505903703,0.030810358450726057,24,0.006289138083043874
83,-0.0025025814663167455,0.030053619434405293,24,0.0061346693781737455
84,-0.00216451698772996,0.029791073501585916,24,0.006081077414052871
85,-0.0021604375903313006,0.0294016933662328,24,0.006001595526753622
86,-0.0022196496289611906,0.02976980101203049,24,0.006076735185305414
87,-0.0019912402484909687,0.02981231917222188,24,0.006085414168411315
88,-0.0023198333647182308,0.029890717645509494,24,0.006101417189758638
89,-0.00248162753799679,0.0301597008493084,24,0.006156323156315836
90,-0.00197479112536912,0.03042246698421271,24,0.006209960068999077
91,-0.0016015519963168707,0.030692966849483683,24,0.006265175622782867
92,-0.0014950021984359537,0.03133983917461507,24,0.006397217883224503
93,-0.001840972496326987,0.031830157854147036,24,0.006497303764575215
94,-0.00213040716917927,0.03171195968283439,24,0.006473176663888044
95,-0.001985703665715327,0.03076536518068184,24,0.006279953870254909
96,-0.001816879348641232,0.03100538679990016,24,0.006328948078115033
97,-0.0018431500532006984,0.030832328332704485,24,0.006293622666423568
98,-0.0023598979541875377,0.030847227920881168,24,0.006296664032124441
99,-0.002576904980337056,0.030976637354222767,24,0.006323079622090244
100,-0.001955465571795692,0.030642962374766946,24,0.006254968502123541
101,-0.001460748673986826,0.030546534794363936,24,0.0062352853046969935
102,-0.0008076422116749621,0.03077281562557469,24,0.00628147468595026
103,-0.000524728010479823,0.031332986892100456,24,0.0063958191669133205
104,-0.0009626403681414162,0.03118335597734966,24,0.006365275884339542
105,-0.0009048448968852326,0.03095305903061872,24,0.006318266716938565
106,-0.0005978727334175387,0.03129366929626686,24,0.0063877934962712135
107,-0.00045765172218480734,0.031140999707350535,24,0.006356629946930758
108,-0.0003715229962308493,0.03121979099638423,24,0.006372713151456483
109,-0.00039544594449511425,0.03155194471088082,24,0.0064405137445137095
110,-0.0003084440293263724,0.031342418361765566,24,0.006397744357596991
111,-0.0004450404476274506,0.031127416503830208,24,0.00635385728712266
112,-0.0010127025523954244,0.031391339260605236,24,0.006407730294256617
113,-0.0003250008643674839,0.03149259948218496,24,0.006428399950432575
114,-3.066098262084066e-05,0.031933873831950274,24,0.006518474699891195
115,0.0002765557485314305,0.03172507284091164,24,0.0064758533760718535
116,0.00012534600174084445,0.0313963778324273,24,0.006408758788422985
117,-0.00019651747906982526,0.031062606195764633,24,0.006340627938386556
118,-0.0003236825104550349,0.031295896057960466,24,0.006388248032098556
119,-0.0005090523609715714,0.03073496774353347,24,0.006273749019379757
120,-0.00011607968509957645,0.03067661276377371,24,0.006261837359016269
121,-0.00035495390821329827,0.030554415253117063,24,0.006236893896604011
122,-0.00025651782220736464,0.03067219143934317,24,0.006260934859946092
123,-0.0001261723440974923,0.03041821856611139,24,0.0062090928642855574
124,-3.895619533586062e-05,0.030580234603568637,24,0.0062421642494453825
125,0.00044455535180089756,0.03115746132118761,24,0.006359990159784388
126,-0.0001283033484322228,0.03175984770395013,24,0.006482951765265143
127,-0.0003263034093690326,0.03195943554567949,24,0.006523692462856835
128,-0.00016107200694677847,0.032842763481286105,24,0.006704001022672022
129,0.00013532901787498072,0.032974697415938586,24,0.006730931924310045
130,0.0002908097728157981,0.03311323205502749,24,0.006759210189099082
131,0.0001302837612382621,0.033300997051216204,24,0.00679753755845058
132,8.596167419723811e-06,0.03353660086238434,24,0.00684562998501866
