pseudo_earnings_date,placebo_date,r_overnight,r_open_1h,r_mid_day
2020-05-21,2020-06-11,-0.020118798381549993,0.003453765178010335,-0.046084448256268014
2020-05-21,2020-03-31,0.0034699257794671536,0.02970540147476886,-0.04079012875705593
2020-05-21,2020-06-23,0.002149918239812228,0.003868418127710596,-0.013817701367368361
2020-08-19,2020-06-30,0.0101219132113726,0.015992871463143092,0.0041872198644321455
2020-08-19,2020-09-15,0.025484399266076086,-0.01376328993766317,-0.0019792663962021747
2020-08-19,2020-09-30,0.0006065643760586447,0.02724010190550227,-0.005080482461939707
2020-11-18,2020-11-12,-0.0010439192656324827,0.019714487590666706,-0.015359614983223564
2020-11-18,2021-01-13,0.002631499342187469,-0.00218369454200656,0.0029206350230104247
2020-11-18,2020-12-17,0.008144424362873097,-0.0025133652919420188,0.0023822263500451603
2021-02-24,2021-03-03,0.001025593302334401,-0.029832258693608667,-0.016260958424962217
2021-02-24,2021-03-30,-0.008412532652403599,-0.0057392887794427095,0.007955894781323702
2021-02-24,2021-01-11,0.008174943340889801,0.03296931267476733,-0.016211057717303436
2021-05-26,2021-05-20,0.01911794456966249,0.013164922511634597,0.005833921831063188
2021-05-26,2021-05-06,0.0008467913165527489,-0.015072426242569067,0.01859015645303259
2021-05-26,2021-04-16,0.0007743054866992901,-0.012524270170983072,-0.0022753356181821633
2021-08-18,2021-09-28,-0.016270361830532053,-0.020004454622261577,-0.009405577797600337
2021-08-18,2021-09-07,-0.0010951224346114658,-0.008294295753790726,0.0013452419732022064
2021-08-18,2021-08-03,0.010977500839886264,-0.0032102756302483213,-0.004481489914370571
2021-11-17,2021-11-04,0.022749373452995943,0.04751386171428157,0.043547396945618266
2021-11-17,2021-09-29,0.013824441355046513,-0.007992959011109555,-0.014179829621474372
2021-11-17,2021-10-13,0.009294776637211129,-0.003520402476635572,0.007634453438115376
2022-02-16,2022-03-29,0.0154016898697432,-0.007771413237570589,0.007806306899140462
2022-02-16,2022-03-30,-0.013843239828726898,0.0027557959780833805,-0.023236523289558338
2022-02-16,2021-12-27,0.005282936804116164,0.03465677375338295,0.0034405850727259202
2022-05-25,2022-06-21,0.03939208814124873,0.02151036650681182,-0.018481939991575772
2022-05-25,2022-04-13,0.004210266780298627,0.026034170177519078,0.0019270977232114577
2022-05-25,2022-06-27,0.00810709230421236,-0.02740218977212086,0.003562949137352658
2022-08-24,2022-10-17,0.038429320449317565,0.008064387783581583,0.010273845784689144
2022-08-24,2022-08-12,0.008324594385642701,0.01923842028065576,0.014132427979434111
2022-08-24,2022-10-11,-0.00645024812173294,-0.022423833600849,0.02207864892362107
2022-11-16,2022-10-26,-0.04000225669621827,0.028245000618061324,-0.016230501283997105
2022-11-16,2022-12-15,-0.022432986494933964,-0.031134230898915722,0.012499969931687975
2022-11-16,2022-10-07,-0.045059507966736044,0.00016968643501238243,-0.03862425089727165
2023-02-22,2022-12-30,-0.0201985147295956,0.004601235111716656,0.016384479110913206
2023-02-22,2023-03-03,0.006413018986096804,-0.005469436849633857,0.02346130658313612
2023-02-22,2023-01-12,0.012297527810406026,-0.015866568932362213,0.034882152143719314
2023-05-24,2023-06-23,-0.012934726750704641,-0.001566507552275442,-0.0048334678145859405
2023-05-24,2023-07-12,0.011105296745071457,0.020202940556363926,0.0035480246450705676
2023-05-24,2023-05-04,-0.005156974230197484,-0.004459273375247829,0.0009822687857344238
2023-08-23,2023-10-10,0.0026195421683776607,0.005760855949539943,0.0030618517490647737
2023-08-23,2023-08-04,0.01687262365165242,-0.010245264453541847,-0.0027037193091017757
2023-08-23,2023-07-31,-0.0015843452904117253,0.003796085505959749,-0.002382899822298713
2023-11-21,2023-11-10,0.008968669982760536,0.0022349204942406775,0.017908683421860718
2023-11-21,2023-10-12,-0.00033246996858904193,0.007520782972037712,-0.004265800123907977
2023-11-21,2023-12-22,0.005738955065047373,-0.001563753733021507,-0.007650834533155972
2024-02-21,2024-02-14,0.01816072917623392,0.00746732296161114,-0.002825872796351683
2024-02-21,2024-01-19,0.010066822620521517,0.002452016358906407,0.028443221371996445
2024-02-21,2024-01-31,-0.015889762848911478,-0.01139183561504231,0.007128647672801665
2024-05-22,2024-07-11,0.0045143462419871975,-0.023591469089922684,-0.03706084269120934
2024-05-22,2024-05-09,0.00435843664939306,-0.02342813730094161,0.001353317525624711
2024-05-22,2024-04-11,0.004283963505693476,0.007974073926757839,0.02815605312674438
2024-08-28,2024-09-23,0.0034042102956375457,-0.0026721616032407604,0.00064548058268858
2024-08-28,2024-07-11,0.0045143462419871975,-0.023591469089922684,-0.03706084269120934
2024-08-28,2024-08-05,-0.15647938966565758,0.07503718214466748,0.017152226213205658
2024-11-20,2024-11-05,0.011907076651428103,0.008100138307676573,0.0077491956984834815
2024-11-20,2024-12-31,0.0015273285633865849,-0.0007270083926172484,-0.02362227651354208
