pseudo_earnings_date,placebo_date,r_overnight,r_open_1h,r_mid_day
2025-02-26,2025-03-24,0.021570411868725,0.0033637207023794534,0.005168824955005372
2025-02-26,2025-01-30,-0.005669867773076571,-0.03303082876671409,0.0475460420850084
2025-02-26,2025-01-27,-0.13521222267872648,-0.0016527010393141,-0.0481840441069519
2025-05-28,2025-07-25,-0.0006055464089983092,0.005083937082699014,-0.006206203117595312
2025-05-28,2025-04-21,-0.021404738229809882,-0.03362155276161766,0.008402974907085692
2025-05-28,2025-07-07,-0.003547039679823091,-0.0038758515098566053,0.0008850677022317933
2025-08-27,2025-10-01,-0.005320700764881869,0.005159898899233673,0.003317995123637715
2025-08-27,2025-09-19,-0.00215798823027377,0.010378025193300512,-0.006916144944625535
2025-08-27,2025-10-23,0.0011641122188267084,0.005524875931969807,0.00384933112095236
2025-11-19,2025-10-20,-0.0028692856040386026,0.01216315345561669,-0.012929688753771956
2025-11-19,2025-12-22,0.013227778701584482,-0.00034575224088128465,0.0014356706049069388
2026-02-25,2025-12-31,0.012188810149915,-0.004192077097120901,-0.0136645912373353
2026-02-25,2026-01-13,-0.000541008452927313,-0.00542624371195147,0.0109308447672807
2026-02-25,2026-03-09,-0.003839880218215504,0.006649818000555258,0.02466660548221662
